production_P,injection_P,fcv1_pid
1.779127,4.509875,0
1.648214,5.266725,0
1.948569,4.641448,0
1.595693,4.946089,0
1.979084,4.905206,0
1.965434,4.616874,0
2.021418,4.84787,0
2.420921,4.649608,0
3.211055,5.041703,0
2.315124,4.795324,0
2.256545,5.153541,0
2.778509,4.593598,0
2.284351,4.907133,0
2.765984,4.627372,0
2.96244,4.915951,0
3.076831,5.250444,0
2.509986,4.945736,0
2.621363,4.530765,0
2.965998,4.659075,0
2.943686,4.797844,0
3.56498,4.82613,0
3.486855,5.11198,0
3.627642,4.639902,0
3.354817,4.648758,0
3.497825,4.906131,0
3.588598,4.821339,0
3.64816,4.86185,0
3.985983,4.978422,0
3.731969,5.04219,0
3.849929,4.793606,0
3.976254,4.777345,0
4.170992,4.701704,0
3.825175,4.617466,0
3.987252,4.92017,0
4.27552,4.772019,0
4.196862,4.90826,0
4.511382,4.961998,0
4.152258,4.878885,0
4.073704,4.881529,0
4.266258,4.9912,0
4.031456,4.661126,0
4.01046,4.886272,0
4.040279,4.704491,0
4.33885,5.24467,0
4.31008,5.263995,0
3.793668,4.691589,0
4.016413,5.146327,0
4.160805,4.572832,0
4.642886,4.764805,0
4.270637,5.005067,0
4.450055,4.980617,0
4.58632,4.924636,0
4.538768,4.971742,0
3.951233,4.915656,0
4.271495,4.771924,0
4.550444,4.969222,0
4.568196,4.97031,0
4.296812,4.520315,0
4.396942,4.429272,0
4.702047,5.176579,0
4.234331,4.939228,100
4.538778,5.080993,100
4.532263,4.67443,100
4.486838,4.807082,100
4.871879,4.974375,100
4.820512,4.893362,100
4.778674,4.723616,100
4.332239,4.711591,100
4.374001,4.726813,100
4.293521,4.553316,100
4.414313,4.833364,100
4.761666,5.148388,100
4.80338,4.928606,100
4.714143,4.874037,100
4.755599,4.777459,100
5.478311,4.815823,100
4.587407,4.592796,100
4.656489,4.640666,100
5.150695,4.59439,100
4.664263,4.592386,100
4.614174,4.722585,100
4.830585,4.983604,100
4.754969,5.052573,100
4.863523,4.729628,100
5.02208,4.455316,100
4.478816,4.725429,100
4.671141,4.702764,100
5.12554,4.635751,100
4.801672,4.802558,100
4.894935,4.781381,100
4.983438,4.604582,100
4.793011,4.633985,100
4.716623,4.932061,100
4.730387,4.681043,100
5.090742,4.760663,100
5.086783,4.812216,100
5.000312,4.842239,100
5.108523,4.971837,100
5.017454,4.806767,100
5.216418,4.905845,100
4.723433,4.806509,100
5.277353,5.084858,100
5.051861,5.089277,100
5.14645,5.104355,100
5.722176,4.67088,100
5.584728,4.581383,100
5.196711,4.75341,100
4.806986,4.417648,100
5.206641,4.499253,100
5.431952,4.685156,100
5.502531,-1.122215,100
5.155245,-0.710851,100
5.506862,-0.888137,100
5.377484,-0.481144,100
5.202768,-0.994593,100
4.958207,-0.967671,100
5.34385,-0.686736,100
5.31115,-1.079662,100
